Name,Attendance,Assessment marks,Assignment score,Study hours,Sem marks,Participation,no.of backlog
Riya,90%,20.0,24,1.6,45.1,81,0
Monica,60%,18.0,20,3.0,94.2,74,0
John,88%,15.0,28,3.0,54.3,78,0
Soha,89%,13.5,29,3.4,80.6,88,0
Ritika,99%,17.5,21,2.8,61.9,56,0
River,30%,12.0,22,1.7,66.3,80,1
Stephan,50%,16.0,28,2.8,51.9,88,1
Xavier,77%,15.0,27,1.7,91.7,98,0
Ronaldo,86%,17.0,30,6.3,88.7,94,0
Pooja,20%,18.0,29,1.8,73.5,76,1
Sara,75%,11.0,29,5.8,74.8,100,0
Trisha,60%,13.0,20,3.4,54.8,83,0
Manoj,93%,19.0,29,6.2,92.4,81,0
Suraj,39.50%,8.0,22,2.5,79.2,92,1
Hrishi,100%,19.5,30,2.1,68.0,55,0
Sourabh,100%,19.0,23,5.7,90.9,90,0
Karan,100%,20.0,25,1.8,71.5,70,0
Nisha,100%,20.0,19,2.7,57.1,85,0
Zehaan,90%,16.5,19,2.1,78.2,58,0
Shamika,56%,14.0,20,5.7,61.5,55,0
Ruta,48%,13.5,19,1.6,92.7,86,0
Divya,80%,15.0,20,3.9,67.2,55,0
Niharika,90%,17.0,30,5.8,67.3,70,0
Amanjeet,96%,17.5,24,4.9,82.2,55,0
Harshdeep,99%,20.0,29,6.0,52.7,89,0
Liana,80.50%,18.5,23,4.6,83.8,89,0
Pratham,88%,12.0,24,4.1,74.5,73,0
Aarav,68%,17.0,18,4.8,82.0,83,0
Ananya,100%,18.0,18,2.6,64.4,84,0
Kabir,95%,14.0,25,3.2,65.6,92,0
Meera,96%,15.0,20,3.0,73.4,62,0
Aditya,52%,13.0,19,4.2,81.2,82,0
Ishita,92%,16.0,21,3.1,80.3,68,0
Dev,75%,20.0,25,2.0,62.1,63,0
Sneha,92%,15.0,18,4.0,62.2,67,0
Aditi,85%,17.0,26,4.5,78.4,88,0
Rahul,72%,14.0,23,3.6,69.8,75,0
Neha,94%,19.0,27,5.2,86.5,91,0
Vivek,65%,12.0,21,2.9,58.7,70,1
Priya,98%,18.0,29,5.8,91.2,95,0
Arjun,81%,16.0,24,4.0,76.3,82,0
Kavya,57%,13.0,22,3.1,63.5,79,1
Rohan,91%,19.0,28,5.5,88.6,93,0
Simran,79%,15.0,25,4.3,72.1,86,0
Yash,46%,10.0,20,2.4,55.9,68,2
Tanvi,87%,16.0,26,4.7,81.5,89,0
Akash,74%,14.0,22,3.5,68.9,77,0
Pallavi,95%,19.0,28,5.1,89.7,94,0
Sahil,62%,11.0,20,2.7,59.6,71,1
Mansi,89%,17.0,25,4.4,77.8,85,0
